sim_id	k_cap_bind	k_start_uorf2	k_elong_stall	k_terminated_ssu_recycle_uorf2	l_scan_capture	uorf2_start	uorf2_stop	uorf3_start	uorf3_stop	orf_start	orf_stop	l_mrna	x_stall	k_scan_term_3_hit_80s	k_scan_term_3_hit_40s	k_scan_term_both_hit_40s_80s	k_scan_term_both_hit_40s_40s	k_scan_term_both_hit_80s_40s	k_scan_term_both_hit_80s_80s
124	0.03125	5.0	0.001	5.0	0	25	88	94	103	229	274	277	85	0	0	0	0	0	0
125	0.03125	5.0	0.001	5.0	0	25	88	94	103	229	274	277	85	2	2	2	2	2	2
126	0.03125	5.0	0.001	5.0	3	25	88	94	103	229	274	277	85	0	0	0	0	0	0
127	0.03125	5.0	0.001	5.0	3	25	88	94	103	229	274	277	85	2	2	2	2	2	2
128	0.03125	5.0	0.001	0.5555555555555555	0	25	88	94	103	229	274	277	85	0	0	0	0	0	0
129	0.03125	5.0	0.001	0.5555555555555555	0	25	88	94	103	229	274	277	85	2	2	2	2	2	2
130	0.03125	5.0	0.001	0.5555555555555555	3	25	88	94	103	229	274	277	85	0	0	0	0	0	0
131	0.03125	5.0	0.001	0.5555555555555555	3	25	88	94	103	229	274	277	85	2	2	2	2	2	2
132	0.03125	5.0	5.0	45.0	0	25	88	94	103	229	274	277	85	0	0	0	0	0	0
133	0.03125	5.0	5.0	45.0	0	25	88	94	103	229	274	277	85	2	2	2	2	2	2
134	0.03125	5.0	5.0	45.0	3	25	88	94	103	229	274	277	85	0	0	0	0	0	0
135	0.03125	5.0	5.0	45.0	3	25	88	94	103	229	274	277	85	2	2	2	2	2	2
136	0.03125	5.0	5.0	5.0	0	25	88	94	103	229	274	277	85	0	0	0	0	0	0
137	0.03125	5.0	5.0	5.0	0	25	88	94	103	229	274	277	85	2	2	2	2	2	2
138	0.03125	5.0	5.0	5.0	3	25	88	94	103	229	274	277	85	0	0	0	0	0	0
139	0.03125	5.0	5.0	5.0	3	25	88	94	103	229	274	277	85	2	2	2	2	2	2
140	0.03125	5.0	5.0	0.5555555555555555	0	25	88	94	103	229	274	277	85	0	0	0	0	0	0
141	0.03125	5.0	5.0	0.5555555555555555	0	25	88	94	103	229	274	277	85	2	2	2	2	2	2
142	0.03125	5.0	5.0	0.5555555555555555	3	25	88	94	103	229	274	277	85	0	0	0	0	0	0
143	0.03125	5.0	5.0	0.5555555555555555	3	25	88	94	103	229	274	277	85	2	2	2	2	2	2
144	0.03125	0.5	0.001	45.0	0	25	91	97	106	232	277	280	88	0	0	0	0	0	0
145	0.03125	0.5	0.001	45.0	0	25	91	97	106	232	277	280	88	2	2	2	2	2	2
146	0.03125	0.5	0.001	45.0	3	25	91	97	106	232	277	280	88	0	0	0	0	0	0
147	0.03125	0.5	0.001	45.0	3	25	91	97	106	232	277	280	88	2	2	2	2	2	2
148	0.03125	0.5	0.001	5.0	0	25	91	97	106	232	277	280	88	0	0	0	0	0	0
149	0.03125	0.5	0.001	5.0	0	25	91	97	106	232	277	280	88	2	2	2	2	2	2
150	0.03125	0.5	0.001	5.0	3	25	91	97	106	232	277	280	88	0	0	0	0	0	0
151	0.03125	0.5	0.001	5.0	3	25	91	97	106	232	277	280	88	2	2	2	2	2	2
152	0.03125	0.5	0.001	0.5555555555555555	0	25	91	97	106	232	277	280	88	0	0	0	0	0	0
153	0.03125	0.5	0.001	0.5555555555555555	0	25	91	97	106	232	277	280	88	2	2	2	2	2	2
154	0.03125	0.5	0.001	0.5555555555555555	3	25	91	97	106	232	277	280	88	0	0	0	0	0	0
155	0.03125	0.5	0.001	0.5555555555555555	3	25	91	97	106	232	277	280	88	2	2	2	2	2	2
156	0.03125	0.5	5.0	45.0	0	25	91	97	106	232	277	280	88	0	0	0	0	0	0
157	0.03125	0.5	5.0	45.0	0	25	91	97	106	232	277	280	88	2	2	2	2	2	2
158	0.03125	0.5	5.0	45.0	3	25	91	97	106	232	277	280	88	0	0	0	0	0	0
159	0.03125	0.5	5.0	45.0	3	25	91	97	106	232	277	280	88	2	2	2	2	2	2
160	0.03125	0.5	5.0	5.0	0	25	91	97	106	232	277	280	88	0	0	0	0	0	0
161	0.03125	0.5	5.0	5.0	0	25	91	97	106	232	277	280	88	2	2	2	2	2	2
162	0.03125	0.5	5.0	5.0	3	25	91	97	106	232	277	280	88	0	0	0	0	0	0
163	0.03125	0.5	5.0	5.0	3	25	91	97	106	232	277	280	88	2	2	2	2	2	2
164	0.03125	0.5	5.0	0.5555555555555555	0	25	91	97	106	232	277	280	88	0	0	0	0	0	0
165	0.03125	0.5	5.0	0.5555555555555555	0	25	91	97	106	232	277	280	88	2	2	2	2	2	2
166	0.03125	0.5	5.0	0.5555555555555555	3	25	91	97	106	232	277	280	88	0	0	0	0	0	0
167	0.03125	0.5	5.0	0.5555555555555555	3	25	91	97	106	232	277	280	88	2	2	2	2	2	2
168	0.03125	5.0	0.001	45.0	0	25	91	97	106	232	277	280	88	0	0	0	0	0	0
169	0.03125	5.0	0.001	45.0	0	25	91	97	106	232	277	280	88	2	2	2	2	2	2
170	0.03125	5.0	0.001	45.0	3	25	91	97	106	232	277	280	88	0	0	0	0	0	0
171	0.03125	5.0	0.001	45.0	3	25	91	97	106	232	277	280	88	2	2	2	2	2	2
172	0.03125	5.0	0.001	5.0	0	25	91	97	106	232	277	280	88	0	0	0	0	0	0
173	0.03125	5.0	0.001	5.0	0	25	91	97	106	232	277	280	88	2	2	2	2	2	2
174	0.03125	5.0	0.001	5.0	3	25	91	97	106	232	277	280	88	0	0	0	0	0	0
175	0.03125	5.0	0.001	5.0	3	25	91	97	106	232	277	280	88	2	2	2	2	2	2
176	0.03125	5.0	0.001	0.5555555555555555	0	25	91	97	106	232	277	280	88	0	0	0	0	0	0
177	0.03125	5.0	0.001	0.5555555555555555	0	25	91	97	106	232	277	280	88	2	2	2	2	2	2
178	0.03125	5.0	0.001	0.5555555555555555	3	25	91	97	106	232	277	280	88	0	0	0	0	0	0
179	0.03125	5.0	0.001	0.5555555555555555	3	25	91	97	106	232	277	280	88	2	2	2	2	2	2
180	0.03125	5.0	5.0	45.0	0	25	91	97	106	232	277	280	88	0	0	0	0	0	0
181	0.03125	5.0	5.0	45.0	0	25	91	97	106	232	277	280	88	2	2	2	2	2	2
182	0.03125	5.0	5.0	45.0	3	25	91	97	106	232	277	280	88	0	0	0	0	0	0
183	0.03125	5.0	5.0	45.0	3	25	91	97	106	232	277	280	88	2	2	2	2	2	2
184	0.03125	5.0	5.0	5.0	0	25	91	97	106	232	277	280	88	0	0	0	0	0	0
185	0.03125	5.0	5.0	5.0	0	25	91	97	106	232	277	280	88	2	2	2	2	2	2
186	0.03125	5.0	5.0	5.0	3	25	91	97	106	232	277	280	88	0	0	0	0	0	0
187	0.03125	5.0	5.0	5.0	3	25	91	97	106	232	277	280	88	2	2	2	2	2	2
188	0.03125	5.0	5.0	0.5555555555555555	0	25	91	97	106	232	277	280	88	0	0	0	0	0	0
189	0.03125	5.0	5.0	0.5555555555555555	0	25	91	97	106	232	277	280	88	2	2	2	2	2	2
190	0.03125	5.0	5.0	0.5555555555555555	3	25	91	97	106	232	277	280	88	0	0	0	0	0	0
191	0.03125	5.0	5.0	0.5555555555555555	3	25	91	97	106	232	277	280	88	2	2	2	2	2	2
192	0.0625	0.5	0.001	45.0	0	25	88	94	103	229	274	277	85	0	0	0	0	0	0
193	0.0625	0.5	0.001	45.0	0	25	88	94	103	229	274	277	85	2	2	2	2	2	2
194	0.0625	0.5	0.001	45.0	3	25	88	94	103	229	274	277	85	0	0	0	0	0	0
195	0.0625	0.5	0.001	45.0	3	25	88	94	103	229	274	277	85	2	2	2	2	2	2
196	0.0625	0.5	0.001	5.0	0	25	88	94	103	229	274	277	85	0	0	0	0	0	0
197	0.0625	0.5	0.001	5.0	0	25	88	94	103	229	274	277	85	2	2	2	2	2	2
198	0.0625	0.5	0.001	5.0	3	25	88	94	103	229	274	277	85	0	0	0	0	0	0
199	0.0625	0.5	0.001	5.0	3	25	88	94	103	229	274	277	85	2	2	2	2	2	2
200	0.0625	0.5	0.001	0.5555555555555555	0	25	88	94	103	229	274	277	85	0	0	0	0	0	0
201	0.0625	0.5	0.001	0.5555555555555555	0	25	88	94	103	229	274	277	85	2	2	2	2	2	2
202	0.0625	0.5	0.001	0.5555555555555555	3	25	88	94	103	229	274	277	85	0	0	0	0	0	0
203	0.0625	0.5	0.001	0.5555555555555555	3	25	88	94	103	229	274	277	85	2	2	2	2	2	2
204	0.0625	0.5	5.0	45.0	0	25	88	94	103	229	274	277	85	0	0	0	0	0	0
205	0.0625	0.5	5.0	45.0	0	25	88	94	103	229	274	277	85	2	2	2	2	2	2
206	0.0625	0.5	5.0	45.0	3	25	88	94	103	229	274	277	85	0	0	0	0	0	0
207	0.0625	0.5	5.0	45.0	3	25	88	94	103	229	274	277	85	2	2	2	2	2	2
208	0.0625	0.5	5.0	5.0	0	25	88	94	103	229	274	277	85	0	0	0	0	0	0
209	0.0625	0.5	5.0	5.0	0	25	88	94	103	229	274	277	85	2	2	2	2	2	2
210	0.0625	0.5	5.0	5.0	3	25	88	94	103	229	274	277	85	0	0	0	0	0	0
211	0.0625	0.5	5.0	5.0	3	25	88	94	103	229	274	277	85	2	2	2	2	2	2
212	0.0625	0.5	5.0	0.5555555555555555	0	25	88	94	103	229	274	277	85	0	0	0	0	0	0
213	0.0625	0.5	5.0	0.5555555555555555	0	25	88	94	103	229	274	277	85	2	2	2	2	2	2
214	0.0625	0.5	5.0	0.5555555555555555	3	25	88	94	103	229	274	277	85	0	0	0	0	0	0
215	0.0625	0.5	5.0	0.5555555555555555	3	25	88	94	103	229	274	277	85	2	2	2	2	2	2
216	0.0625	5.0	0.001	45.0	0	25	88	94	103	229	274	277	85	0	0	0	0	0	0
217	0.0625	5.0	0.001	45.0	0	25	88	94	103	229	274	277	85	2	2	2	2	2	2
218	0.0625	5.0	0.001	45.0	3	25	88	94	103	229	274	277	85	0	0	0	0	0	0
219	0.0625	5.0	0.001	45.0	3	25	88	94	103	229	274	277	85	2	2	2	2	2	2
220	0.0625	5.0	0.001	5.0	0	25	88	94	103	229	274	277	85	0	0	0	0	0	0
221	0.0625	5.0	0.001	5.0	0	25	88	94	103	229	274	277	85	2	2	2	2	2	2
222	0.0625	5.0	0.001	5.0	3	25	88	94	103	229	274	277	85	0	0	0	0	0	0
223	0.0625	5.0	0.001	5.0	3	25	88	94	103	229	274	277	85	2	2	2	2	2	2
224	0.0625	5.0	0.001	0.5555555555555555	0	25	88	94	103	229	274	277	85	0	0	0	0	0	0
225	0.0625	5.0	0.001	0.5555555555555555	0	25	88	94	103	229	274	277	85	2	2	2	2	2	2
226	0.0625	5.0	0.001	0.5555555555555555	3	25	88	94	103	229	274	277	85	0	0	0	0	0	0
227	0.0625	5.0	0.001	0.5555555555555555	3	25	88	94	103	229	274	277	85	2	2	2	2	2	2
228	0.0625	5.0	5.0	45.0	0	25	88	94	103	229	274	277	85	0	0	0	0	0	0
229	0.0625	5.0	5.0	45.0	0	25	88	94	103	229	274	277	85	2	2	2	2	2	2
230	0.0625	5.0	5.0	45.0	3	25	88	94	103	229	274	277	85	0	0	0	0	0	0
231	0.0625	5.0	5.0	45.0	3	25	88	94	103	229	274	277	85	2	2	2	2	2	2
232	0.0625	5.0	5.0	5.0	0	25	88	94	103	229	274	277	85	0	0	0	0	0	0
233	0.0625	5.0	5.0	5.0	0	25	88	94	103	229	274	277	85	2	2	2	2	2	2
