sim_id	k_cap_bind	k_start_uorf2	k_scan	k_elong	k_elong_stall	k_terminated_ssu_recycle_uorf2	uorf2_start	uorf2_stop	uorf3_start	uorf3_stop	orf_start	orf_stop	l_mrna	x_stall	k_scan_term_5_hit_80s	k_scan_term_both_hit_80s_40s	k_scan_term_both_hit_80s_80s
104	0.015625	20.0	2	5	0.001	2	25	91	97	106	232	277	280	88	2	2	2
105	0.015625	20.0	2	5	0.001	2	25	91	97	106	232	277	280	88	200	200	200
106	0.015625	20.0	2	5	0.001	2495	25	91	97	106	232	277	280	88	2	2	2
107	0.015625	20.0	2	5	0.001	2495	25	91	97	106	232	277	280	88	200	200	200
108	0.015625	20.0	2	5	2.0	2	25	91	97	106	232	277	280	88	2	2	2
109	0.015625	20.0	2	5	2.0	2	25	91	97	106	232	277	280	88	200	200	200
110	0.015625	20.0	2	5	2.0	2495	25	91	97	106	232	277	280	88	2	2	2
111	0.015625	20.0	2	5	2.0	2495	25	91	97	106	232	277	280	88	200	200	200
112	0.015625	20.0	5	2	0.001	2	25	91	97	106	232	277	280	88	2	2	2
113	0.015625	20.0	5	2	0.001	2	25	91	97	106	232	277	280	88	200	200	200
114	0.015625	20.0	5	2	0.001	2495	25	91	97	106	232	277	280	88	2	2	2
115	0.015625	20.0	5	2	0.001	2495	25	91	97	106	232	277	280	88	200	200	200
116	0.015625	20.0	5	2	2.0	2	25	91	97	106	232	277	280	88	2	2	2
117	0.015625	20.0	5	2	2.0	2	25	91	97	106	232	277	280	88	200	200	200
118	0.015625	20.0	5	2	2.0	2495	25	91	97	106	232	277	280	88	2	2	2
119	0.015625	20.0	5	2	2.0	2495	25	91	97	106	232	277	280	88	200	200	200
120	0.015625	20.0	5	5	0.001	2	25	91	97	106	232	277	280	88	2	2	2
121	0.015625	20.0	5	5	0.001	2	25	91	97	106	232	277	280	88	200	200	200
122	0.015625	20.0	5	5	0.001	2495	25	91	97	106	232	277	280	88	2	2	2
123	0.015625	20.0	5	5	0.001	2495	25	91	97	106	232	277	280	88	200	200	200
124	0.015625	20.0	5	5	2.0	2	25	91	97	106	232	277	280	88	2	2	2
125	0.015625	20.0	5	5	2.0	2	25	91	97	106	232	277	280	88	200	200	200
126	0.015625	20.0	5	5	2.0	2495	25	91	97	106	232	277	280	88	2	2	2
127	0.015625	20.0	5	5	2.0	2495	25	91	97	106	232	277	280	88	200	200	200
128	0.015625	0.1	2	2	0.001	2	25	325	331	340	466	511	514	322	2	2	2
129	0.015625	0.1	2	2	0.001	2	25	325	331	340	466	511	514	322	200	200	200
130	0.015625	0.1	2	2	0.001	2495	25	325	331	340	466	511	514	322	2	2	2
131	0.015625	0.1	2	2	0.001	2495	25	325	331	340	466	511	514	322	200	200	200
132	0.015625	0.1	2	2	2.0	2	25	325	331	340	466	511	514	322	2	2	2
133	0.015625	0.1	2	2	2.0	2	25	325	331	340	466	511	514	322	200	200	200
134	0.015625	0.1	2	2	2.0	2495	25	325	331	340	466	511	514	322	2	2	2
135	0.015625	0.1	2	2	2.0	2495	25	325	331	340	466	511	514	322	200	200	200
136	0.015625	0.1	2	5	0.001	2	25	325	331	340	466	511	514	322	2	2	2
137	0.015625	0.1	2	5	0.001	2	25	325	331	340	466	511	514	322	200	200	200
138	0.015625	0.1	2	5	0.001	2495	25	325	331	340	466	511	514	322	2	2	2
139	0.015625	0.1	2	5	0.001	2495	25	325	331	340	466	511	514	322	200	200	200
140	0.015625	0.1	2	5	2.0	2	25	325	331	340	466	511	514	322	2	2	2
141	0.015625	0.1	2	5	2.0	2	25	325	331	340	466	511	514	322	200	200	200
142	0.015625	0.1	2	5	2.0	2495	25	325	331	340	466	511	514	322	2	2	2
143	0.015625	0.1	2	5	2.0	2495	25	325	331	340	466	511	514	322	200	200	200
144	0.015625	0.1	5	2	0.001	2	25	325	331	340	466	511	514	322	2	2	2
145	0.015625	0.1	5	2	0.001	2	25	325	331	340	466	511	514	322	200	200	200
146	0.015625	0.1	5	2	0.001	2495	25	325	331	340	466	511	514	322	2	2	2
147	0.015625	0.1	5	2	0.001	2495	25	325	331	340	466	511	514	322	200	200	200
148	0.015625	0.1	5	2	2.0	2	25	325	331	340	466	511	514	322	2	2	2
149	0.015625	0.1	5	2	2.0	2	25	325	331	340	466	511	514	322	200	200	200
150	0.015625	0.1	5	2	2.0	2495	25	325	331	340	466	511	514	322	2	2	2
151	0.015625	0.1	5	2	2.0	2495	25	325	331	340	466	511	514	322	200	200	200
152	0.015625	0.1	5	5	0.001	2	25	325	331	340	466	511	514	322	2	2	2
153	0.015625	0.1	5	5	0.001	2	25	325	331	340	466	511	514	322	200	200	200
154	0.015625	0.1	5	5	0.001	2495	25	325	331	340	466	511	514	322	2	2	2
155	0.015625	0.1	5	5	0.001	2495	25	325	331	340	466	511	514	322	200	200	200
156	0.015625	0.1	5	5	2.0	2	25	325	331	340	466	511	514	322	2	2	2
157	0.015625	0.1	5	5	2.0	2	25	325	331	340	466	511	514	322	200	200	200
158	0.015625	0.1	5	5	2.0	2495	25	325	331	340	466	511	514	322	2	2	2
159	0.015625	0.1	5	5	2.0	2495	25	325	331	340	466	511	514	322	200	200	200
160	0.015625	20.0	2	2	0.001	2	25	325	331	340	466	511	514	322	2	2	2
161	0.015625	20.0	2	2	0.001	2	25	325	331	340	466	511	514	322	200	200	200
162	0.015625	20.0	2	2	0.001	2495	25	325	331	340	466	511	514	322	2	2	2
163	0.015625	20.0	2	2	0.001	2495	25	325	331	340	466	511	514	322	200	200	200
164	0.015625	20.0	2	2	2.0	2	25	325	331	340	466	511	514	322	2	2	2
165	0.015625	20.0	2	2	2.0	2	25	325	331	340	466	511	514	322	200	200	200
166	0.015625	20.0	2	2	2.0	2495	25	325	331	340	466	511	514	322	2	2	2
167	0.015625	20.0	2	2	2.0	2495	25	325	331	340	466	511	514	322	200	200	200
168	0.015625	20.0	2	5	0.001	2	25	325	331	340	466	511	514	322	2	2	2
169	0.015625	20.0	2	5	0.001	2	25	325	331	340	466	511	514	322	200	200	200
170	0.015625	20.0	2	5	0.001	2495	25	325	331	340	466	511	514	322	2	2	2
171	0.015625	20.0	2	5	0.001	2495	25	325	331	340	466	511	514	322	200	200	200
172	0.015625	20.0	2	5	2.0	2	25	325	331	340	466	511	514	322	2	2	2
173	0.015625	20.0	2	5	2.0	2	25	325	331	340	466	511	514	322	200	200	200
174	0.015625	20.0	2	5	2.0	2495	25	325	331	340	466	511	514	322	2	2	2
175	0.015625	20.0	2	5	2.0	2495	25	325	331	340	466	511	514	322	200	200	200
176	0.015625	20.0	5	2	0.001	2	25	325	331	340	466	511	514	322	2	2	2
177	0.015625	20.0	5	2	0.001	2	25	325	331	340	466	511	514	322	200	200	200
178	0.015625	20.0	5	2	0.001	2495	25	325	331	340	466	511	514	322	2	2	2
179	0.015625	20.0	5	2	0.001	2495	25	325	331	340	466	511	514	322	200	200	200
180	0.015625	20.0	5	2	2.0	2	25	325	331	340	466	511	514	322	2	2	2
181	0.015625	20.0	5	2	2.0	2	25	325	331	340	466	511	514	322	200	200	200
182	0.015625	20.0	5	2	2.0	2495	25	325	331	340	466	511	514	322	2	2	2
183	0.015625	20.0	5	2	2.0	2495	25	325	331	340	466	511	514	322	200	200	200
184	0.015625	20.0	5	5	0.001	2	25	325	331	340	466	511	514	322	2	2	2
185	0.015625	20.0	5	5	0.001	2	25	325	331	340	466	511	514	322	200	200	200
186	0.015625	20.0	5	5	0.001	2495	25	325	331	340	466	511	514	322	2	2	2
187	0.015625	20.0	5	5	0.001	2495	25	325	331	340	466	511	514	322	200	200	200
188	0.015625	20.0	5	5	2.0	2	25	325	331	340	466	511	514	322	2	2	2
189	0.015625	20.0	5	5	2.0	2	25	325	331	340	466	511	514	322	200	200	200
190	0.015625	20.0	5	5	2.0	2495	25	325	331	340	466	511	514	322	2	2	2
191	0.015625	20.0	5	5	2.0	2495	25	325	331	340	466	511	514	322	200	200	200
192	0.03125	0.1	2	2	0.001	2	25	88	94	103	229	274	277	85	2	2	2
193	0.03125	0.1	2	2	0.001	2	25	88	94	103	229	274	277	85	200	200	200
194	0.03125	0.1	2	2	0.001	2495	25	88	94	103	229	274	277	85	2	2	2
195	0.03125	0.1	2	2	0.001	2495	25	88	94	103	229	274	277	85	200	200	200
196	0.03125	0.1	2	2	2.0	2	25	88	94	103	229	274	277	85	2	2	2
197	0.03125	0.1	2	2	2.0	2	25	88	94	103	229	274	277	85	200	200	200
198	0.03125	0.1	2	2	2.0	2495	25	88	94	103	229	274	277	85	2	2	2
199	0.03125	0.1	2	2	2.0	2495	25	88	94	103	229	274	277	85	200	200	200
200	0.03125	0.1	2	5	0.001	2	25	88	94	103	229	274	277	85	2	2	2
201	0.03125	0.1	2	5	0.001	2	25	88	94	103	229	274	277	85	200	200	200
202	0.03125	0.1	2	5	0.001	2495	25	88	94	103	229	274	277	85	2	2	2
203	0.03125	0.1	2	5	0.001	2495	25	88	94	103	229	274	277	85	200	200	200
204	0.03125	0.1	2	5	2.0	2	25	88	94	103	229	274	277	85	2	2	2
205	0.03125	0.1	2	5	2.0	2	25	88	94	103	229	274	277	85	200	200	200
206	0.03125	0.1	2	5	2.0	2495	25	88	94	103	229	274	277	85	2	2	2
207	0.03125	0.1	2	5	2.0	2495	25	88	94	103	229	274	277	85	200	200	200
208	0.03125	0.1	5	2	0.001	2	25	88	94	103	229	274	277	85	2	2	2
209	0.03125	0.1	5	2	0.001	2	25	88	94	103	229	274	277	85	200	200	200
